outlet,rating,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative
Anytime Fitness Bedok 85,4.94,1003,810,184,9,147,80.76,18.34,0.9
Anytime Fitness City Square Mall,4.86,953,858,75,20,52,90.03,7.87,2.1
Anytime Fitness Bugis,4.69,883,675,182,26,155,76.44,20.61,2.94
Anytime Fitness Bukit Timah Central,4.9,882,671,189,22,164,76.08,21.43,2.49
Anytime Fitness Orchard,4.71,814,652,137,25,106,80.1,16.83,3.07
Anytime Fitness Buona Vista,4.86,773,691,62,20,40,89.39,8.02,2.59
Anytime Fitness,4.16,622,291,300,31,183,46.78,48.23,4.98
Anytime Fitness Havelock Outram,4.91,606,472,125,9,99,77.89,20.63,1.49
Anytime Fitness Chai Chee,4.83,552,403,138,11,117,73.01,25.0,1.99
Anytime Fitness Ang Mo Kio South,4.88,539,463,66,10,54,85.9,12.24,1.86
Anytime Fitness Pasir Panjang,4.86,511,477,23,11,2,93.35,4.5,2.15
Anytime Fitness Geylang Bahru,4.87,463,400,56,7,41,86.39,12.1,1.51
Anytime Fitness Punggol Oasis,4.62,457,411,31,15,16,89.93,6.78,3.28
Anytime Fitness Ang Mo Kio,4.64,451,397,39,15,22,88.03,8.65,3.33
Anytime Fitness Sengkang Rivervale,4.59,437,355,70,12,44,81.24,16.02,2.75
Anytime Fitness Junction 9 Yishun,4.4,408,297,72,39,53,72.79,17.65,9.56
Anytime Fitness Tampines,4.75,397,353,31,13,17,88.92,7.81,3.27
Anytime Fitness Toa Payoh,4.49,378,319,46,13,22,84.39,12.17,3.44
Anytime Fitness Serangoon Garden,4.73,376,251,114,11,105,66.76,30.32,2.93
Anytime Fitness Jurong Summit,4.86,374,286,80,8,73,76.47,21.39,2.14
Anytime Fitness Woods Square,4.38,368,261,75,32,63,70.92,20.38,8.7
Anytime Fitness Sembawang,4.78,366,346,13,7,3,94.54,3.55,1.91
Anytime Fitness New Upper Thomson,4.81,338,238,96,4,84,70.41,28.4,1.18
Anytime Fitness SKH Campus,4.68,324,299,14,11,3,92.28,4.32,3.4
Anytime Fitness New Queensway,4.78,303,279,14,10,1,92.08,4.62,3.3
Anytime Fitness NEX,3.06,295,88,147,60,124,29.83,49.83,20.34
Anytime Fitness Sunway Big Box,4.81,283,244,34,5,33,86.22,12.01,1.77
Anytime Fitness New Tech Park,4.77,275,242,25,8,21,88.0,9.09,2.91
Anytime Fitness NorthShore Plaza,4.71,272,208,54,10,34,76.47,19.85,3.68
Anytime Fitness Tanjong Pagar,4.33,267,201,46,20,42,75.28,17.23,7.49
Anytime Fitness Jurong East Central,3.9,249,149,61,39,45,59.84,24.5,15.66
Anytime Fitness Northpoint City,3.0,244,84,97,63,85,34.43,39.75,25.82
Anytime Fitness Katong,4.77,243,235,2,6,0,96.71,0.82,2.47
Anytime Fitness Yishun East,4.85,240,192,45,3,38,80.0,18.75,1.25
Anytime Fitness Upper Serangoon,4.88,235,202,29,4,21,85.96,12.34,1.7
Anytime Fitness ACE The Place CC,4.26,233,130,85,18,75,55.79,36.48,7.73
Anytime Fitness Potong Pasir,4.46,225,180,37,8,30,80.0,16.44,3.56
Anytime Fitness Bukit Batok CSC,4.28,219,155,46,18,37,70.78,21.0,8.22
Anytime Fitness Bedok Central,4.24,216,105,100,11,92,48.61,46.3,5.09
Anytime Fitness Wisteria Mall,4.39,205,123,63,19,51,60.0,30.73,9.27
Anytime Fitness Wheelock Place,4.79,204,195,2,7,0,95.59,0.98,3.43
Anytime Fitness D'Arena Jurong,4.94,203,172,29,2,27,84.73,14.29,0.99
Anytime Fitness Bukit Panjang,4.43,199,159,31,9,24,79.9,15.58,4.52
Anytime Fitness Grantral Complex,4.32,198,148,28,22,18,74.75,14.14,11.11
Anytime Fitness Admiralty,4.09,190,105,65,20,56,55.26,34.21,10.53
Anytime Fitness Raffles Place,4.69,189,140,43,6,37,74.07,22.75,3.17
Anytime Fitness Choa Chu Kang,4.26,189,86,87,16,78,45.5,46.03,8.47
Anytime Fitness Harbourfront,4.56,178,146,25,7,16,82.02,14.04,3.93
Anytime Fitness Boon Keng,4.45,177,130,34,13,28,73.45,19.21,7.34
Anytime Fitness City Hall,4.32,172,155,5,12,0,90.12,2.91,6.98
Anytime Fitness Cecil Street,4.01,171,93,49,29,35,54.39,28.65,16.96
Anytime Fitness Hougang Central,4.4,166,138,13,15,5,83.13,7.83,9.04
Anytime Fitness Clementi City,4.0,160,78,60,22,47,48.75,37.5,13.75
Anytime Fitness Pasir Ris Elias CC,4.54,155,131,18,6,11,84.52,11.61,3.87
Anytime Fitness Holland Village,4.41,152,119,20,13,16,78.29,13.16,8.55
Anytime Fitness Marine Parade Central,4.5,151,102,44,5,38,67.55,29.14,3.31
Anytime Fitness Geylang Central,4.71,143,131,6,6,0,91.61,4.2,4.2
Anytime Fitness Upper Cross Street,3.52,142,58,60,24,53,40.85,42.25,16.9
Anytime Fitness Bukit Timah,4.12,140,79,50,11,44,56.43,35.71,7.86
Anytime Fitness Paya Lebar,3.69,138,51,70,17,63,36.96,50.72,12.32
Anytime Fitness Choa Chu Kang Centre,4.07,134,77,36,21,29,57.46,26.87,15.67
Anytime Fitness Jalan Besar,4.15,131,62,60,9,52,47.33,45.8,6.87
Anytime Fitness Valley Point,4.49,129,61,61,7,58,47.29,47.29,5.43
Anytime Fitness MacPherson Mall,4.97,126,122,2,2,0,96.83,1.59,1.59
Anytime Fitness Woodgrove,4.45,126,77,44,5,35,61.11,34.92,3.97
Anytime Fitness Tekka Place,4.92,123,106,15,2,13,86.18,12.2,1.63
Anytime Fitness Tiong Bahru Plaza,4.22,121,41,71,9,63,33.88,58.68,7.44
Anytime Fitness Novena,4.38,121,71,40,10,39,58.68,33.06,8.26
Anytime Fitness West Coast Plaza,4.05,120,49,59,12,48,40.83,49.17,10.0
Anytime Fitness Bukit Batok (Le Quest),4.83,118,104,12,2,9,88.14,10.17,1.69
Anytime Fitness Viio@Balestier,4.62,116,104,6,6,2,89.66,5.17,5.17
Anytime Fitness hillV2,3.16,112,53,40,19,32,47.32,35.71,16.96
"Anytime Fitness, Telok Blangah",4.3,111,58,47,6,42,52.25,42.34,5.41
Anytime Fitness Yew Tee Community Club,4.46,107,94,7,6,0,87.85,6.54,5.61
Anytime Fitness Lower Peirce,4.69,107,100,6,1,0,93.46,5.61,0.93
Anytime Fitness Kovan,3.67,107,38,47,22,41,35.51,43.93,20.56
Anytime Fitness Buangkok,4.03,101,41,45,15,38,40.59,44.55,14.85
Anytime Fitness Balestier,4.38,99,42,53,4,51,42.42,53.54,4.04
Anytime Fitness Siglap CC,4.7,98,86,11,1,11,87.76,11.22,1.02
Anytime Fitness MacPherson,4.03,97,41,44,12,38,42.27,45.36,12.37
Anytime Fitness Marymount CC,3.97,97,66,19,12,16,68.04,19.59,12.37
Anytime Fitness Changi,4.79,95,94,0,1,0,98.95,0.0,1.05
Anytime Fitness Eastpoint Mall,3.91,92,43,39,10,32,46.74,42.39,10.87
Anytime Fitness Hougang CC,4.58,91,82,6,3,1,90.11,6.59,3.3
Anytime Fitness Balmoral,4.64,86,77,7,2,6,89.53,8.14,2.33
Anytime Fitness Kembangan,3.95,84,66,7,11,0,78.57,8.33,13.1
Anytime Fitness Cantonment Road,4.04,84,38,32,14,30,45.24,38.1,16.67
Anytime Fitness 537 Bedok North,4.77,83,81,1,1,0,97.59,1.2,1.2
Anytime Fitness Loyang Point,4.04,82,44,27,11,24,53.66,32.93,13.41
Anytime Fitness Aljunied 119,3.99,80,50,18,12,17,62.5,22.5,15.0
Anytime Fitness Mountbatten,4.67,78,64,9,5,9,82.05,11.54,6.41
Anytime Fitness Woodlands North,4.79,76,53,18,5,15,69.74,23.68,6.58
Anytime Fitness Greenwich V,4.42,72,32,37,3,37,44.44,51.39,4.17
Anytime Fitness Keppel,4.38,71,51,11,9,9,71.83,15.49,12.68
Anytime Fitness Eastwood Centre,4.94,70,55,15,0,12,78.57,21.43,0.0
Anytime Fitness Kim Seng CC,4.81,70,61,6,3,5,87.14,8.57,4.29
Anytime Fitness Stevens,4.43,68,33,31,4,29,48.53,45.59,5.88
Anytime Fitness Tampines Central,4.36,67,47,17,3,16,70.15,25.37,4.48
Anytime Fitness Cineleisure Orchard,4.73,63,43,18,2,16,68.25,28.57,3.17
Anytime Fitness Tampines Grande,4.08,60,38,12,10,11,63.33,20.0,16.67
Anytime Fitness Simpang Bedok,4.97,59,48,11,0,9,81.36,18.64,0.0
Anytime Fitness Teck Whye,4.47,59,45,7,7,5,76.27,11.86,11.86
Anytime Fitness Alexis,4.19,58,40,13,5,7,68.97,22.41,8.62
Anytime Fitness Bishan,4.31,55,37,11,7,10,67.27,20.0,12.73
Anytime Fitness Gambas,4.49,53,40,8,5,3,75.47,15.09,9.43
Anytime Fitness Punggol Waterway,4.79,53,50,1,2,0,94.34,1.89,3.77
Anytime Fitness Sunshine Place,4.65,46,40,4,2,1,86.96,8.7,4.35
Anytime Fitness Hwi Yoh CC,3.33,39,11,12,16,10,28.21,30.77,41.03
Anytime Fitness Geylang,4.59,39,25,12,2,12,64.1,30.77,5.13
Anytime Fitness Rochester,4.79,39,36,2,1,2,92.31,5.13,2.56
Anytime Fitness Clementi 354,4.83,36,27,8,1,8,75.0,22.22,2.78
Anytime Fitness Bukit Merah,4.5,34,25,8,1,8,73.53,23.53,2.94
Anytime Fitness Labrador View,4.87,31,30,1,0,0,96.77,3.23,0.0
Anytime Fitness Bukit Batok Connection,4.78,27,16,10,1,10,59.26,37.04,3.7
Anytime Fitness Hong Kah North CC,4.48,25,19,3,3,3,76.0,12.0,12.0
Anytime Fitness Chong Pang,4.96,25,21,4,0,4,84.0,16.0,0.0
Anytime Fitness Clarke Quay,4.72,25,23,0,2,0,92.0,0.0,8.0
Anytime Fitness The Concourse,3.5,24,15,6,3,2,62.5,25.0,12.5
Anytime Fitness Kebun Baru CC,4.25,24,21,0,3,0,87.5,0.0,12.5
Anytime Fitness - Tengah,4.88,24,22,2,0,2,91.67,8.33,0.0
Anytime Fitness Tampines 487,5.0,21,20,1,0,1,95.24,4.76,0.0
Anytime Fitness Bishan 227,5.0,21,14,7,0,6,66.67,33.33,0.0
Anytime Fitness Kaki Bukit,4.7,20,17,2,1,1,85.0,10.0,5.0
Anytime Fitness NTU,4.0,20,18,0,2,0,90.0,0.0,10.0
Anytime Fitness Upper Changi,4.94,18,16,2,0,1,88.89,11.11,0.0
Anytime Fitness Marsiling MRT,4.72,18,14,3,1,2,77.78,16.67,5.56
Anytime Fitness Guillemard,3.65,17,10,1,6,1,58.82,5.88,35.29
Anytime Fitness Bukit Merah Central,4.0,11,9,0,2,0,81.82,0.0,18.18
Anytime Fitness Dakota,5.0,9,7,2,0,2,77.78,22.22,0.0
Anytime Fitness Jurong,4.33,6,4,1,1,1,66.67,16.67,16.67
Anytime Fitness Bedok 200 North Ave 1,4.17,6,5,1,0,1,83.33,16.67,0.0
Anytime Fitness Joo Chiat,5.0,1,1,0,0,0,100.0,0.0,0.0
Anytime Fitness Yew Tee 614,5.0,1,1,0,0,0,100.0,0.0,0.0
Anytime Fitness 548 Ang Mo Kio,5.0,1,0,1,0,1,0.0,100.0,0.0
